Product Name,Region,Ship Mode,Factory,Orders,Units,Sales,Gross_Profit,Cost,Current Lead Time,Scenario Factory,Is_Current,Scenario Lead Time,Profit_Margin,Lead Time Reduction,Lead Time Reduction %,Speed_Score,Profit_Safety_Score,Speed_Normalized,Profit_Normalized,Optimization Score,Confidence_Score,Scenario Confidence,Risk
Everlasting Gobstopper,Pacific,First Class,Secret Factory,1,6,60.0,48.0,12.0,2.0,Secret Factory,False,1.6,0.768,0.3999999999999999,19.999999999999996,0.9999999999999998,0.9411764705882353,0.9999999999999998,0.9411764705882353,0.9705882352941175,0.9705882352941175,High,Low
Everlasting Gobstopper,Pacific,First Class,Sugar Shack,1,6,60.0,48.0,12.0,2.0,Sugar Shack,False,1.9,0.8,0.10000000000000009,5.000000000000004,0.2500000000000002,0.9803921568627451,0.2500000000000002,0.9803921568627451,0.6151960784313726,0.6151960784313726,Medium,Medium
Everlasting Gobstopper,Pacific,First Class,The Other Factory,1,6,60.0,48.0,12.0,2.0,The Other Factory,False,2.1,0.8160000000000001,-0.10000000000000009,-5.000000000000004,-0.2500000000000002,1.0,0.0,1.0,0.5,0.5,Medium,Medium
Everlasting Gobstopper,Pacific,First Class,Wicked Choccy's,1,6,60.0,48.0,12.0,2.0,Wicked Choccy's,False,1.7,0.776,0.30000000000000004,15.000000000000002,0.7500000000000001,0.9509803921568627,0.7500000000000001,0.9509803921568627,0.8504901960784315,0.8504901960784315,High,Low
Fizzy Lifting Drinks,Atlantic,First Class,Lot's O' Nuts,1,4,15.0,9.0,6.0,2.0,Lot's O' Nuts,False,1.8,0.588,0.19999999999999996,9.999999999999998,0.4999999999999999,0.7205882352941175,0.4999999999999999,0.7205882352941175,0.6102941176470587,0.6102941176470587,Medium,Medium
Fizzy Lifting Drinks,Atlantic,First Class,Secret Factory,1,4,15.0,9.0,6.0,2.0,Secret Factory,False,1.6,0.576,0.3999999999999999,19.999999999999996,0.9999999999999998,0.7058823529411764,0.9999999999999998,0.7058823529411764,0.8529411764705881,0.8529411764705881,High,Low
Fizzy Lifting Drinks,Atlantic,First Class,Sugar Shack,1,4,15.0,9.0,6.0,2.0,Sugar Shack,False,1.9,0.6,0.10000000000000009,5.000000000000004,0.2500000000000002,0.7352941176470588,0.2500000000000002,0.7352941176470588,0.4926470588235295,0.4926470588235295,Low,High
Fizzy Lifting Drinks,Atlantic,First Class,The Other Factory,1,4,15.0,9.0,6.0,2.0,The Other Factory,False,2.1,0.612,-0.10000000000000009,-5.000000000000004,-0.2500000000000002,0.7499999999999999,0.0,0.7499999999999999,0.37499999999999994,0.37499999999999994,Low,High
Fizzy Lifting Drinks,Atlantic,First Class,Wicked Choccy's,1,4,15.0,9.0,6.0,2.0,Wicked Choccy's,False,1.7,0.582,0.30000000000000004,15.000000000000002,0.7500000000000001,0.713235294117647,0.7500000000000001,0.713235294117647,0.7316176470588236,0.7316176470588236,Medium,Medium
Fizzy Lifting Drinks,Atlantic,Standard Class,Lot's O' Nuts,1,5,18.75,11.25,7.5,5.0,Lot's O' Nuts,False,4.5,0.588,0.5,10.0,0.5,0.7205882352941175,0.5,0.7205882352941175,0.6102941176470588,0.6102941176470588,Medium,Medium
Fizzy Lifting Drinks,Atlantic,Standard Class,Secret Factory,1,5,18.75,11.25,7.5,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fizzy Lifting Drinks,Atlantic,Standard Class,Sugar Shack,1,5,18.75,11.25,7.5,5.0,Sugar Shack,False,4.75,0.6,0.25,5.0,0.25,0.7352941176470588,0.25,0.7352941176470588,0.4926470588235294,0.4926470588235294,Low,High
Fizzy Lifting Drinks,Atlantic,Standard Class,The Other Factory,1,5,18.75,11.25,7.5,5.0,The Other Factory,False,5.25,0.612,-0.25,-5.0,-0.25,0.7499999999999999,0.0,0.7499999999999999,0.37499999999999994,0.37499999999999994,Low,High
Fizzy Lifting Drinks,Atlantic,Standard Class,Wicked Choccy's,1,5,18.75,11.25,7.5,5.0,Wicked Choccy's,False,4.25,0.582,0.75,15.0,0.75,0.713235294117647,0.75,0.713235294117647,0.7316176470588235,0.7316176470588235,Medium,Medium
Fizzy Lifting Drinks,Gulf,Standard Class,Lot's O' Nuts,1,4,15.0,9.0,6.0,5.0,Lot's O' Nuts,False,4.5,0.588,0.5,10.0,0.5,0.7205882352941175,0.5,0.7205882352941175,0.6102941176470588,0.6102941176470588,Medium,Medium
Fizzy Lifting Drinks,Gulf,Standard Class,Secret Factory,1,4,15.0,9.0,6.0,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fizzy Lifting Drinks,Gulf,Standard Class,Sugar Shack,1,4,15.0,9.0,6.0,5.0,Sugar Shack,False,4.75,0.6,0.25,5.0,0.25,0.7352941176470588,0.25,0.7352941176470588,0.4926470588235294,0.4926470588235294,Low,High
Fizzy Lifting Drinks,Gulf,Standard Class,The Other Factory,1,4,15.0,9.0,6.0,5.0,The Other Factory,False,5.25,0.612,-0.25,-5.0,-0.25,0.7499999999999999,0.0,0.7499999999999999,0.37499999999999994,0.37499999999999994,Low,High
Fizzy Lifting Drinks,Gulf,Standard Class,Wicked Choccy's,1,4,15.0,9.0,6.0,5.0,Wicked Choccy's,False,4.25,0.582,0.75,15.0,0.75,0.713235294117647,0.75,0.713235294117647,0.7316176470588235,0.7316176470588235,Medium,Medium
Fizzy Lifting Drinks,Interior,First Class,Lot's O' Nuts,1,2,7.5,4.5,3.0,2.0,Lot's O' Nuts,False,1.8,0.588,0.19999999999999996,9.999999999999998,0.4999999999999999,0.7205882352941175,0.4999999999999999,0.7205882352941175,0.6102941176470587,0.6102941176470587,Medium,Medium
Fizzy Lifting Drinks,Interior,First Class,Secret Factory,1,2,7.5,4.5,3.0,2.0,Secret Factory,False,1.6,0.576,0.3999999999999999,19.999999999999996,0.9999999999999998,0.7058823529411764,0.9999999999999998,0.7058823529411764,0.8529411764705881,0.8529411764705881,High,Low
Fizzy Lifting Drinks,Interior,First Class,Sugar Shack,1,2,7.5,4.5,3.0,2.0,Sugar Shack,False,1.9,0.6,0.10000000000000009,5.000000000000004,0.2500000000000002,0.7352941176470588,0.2500000000000002,0.7352941176470588,0.4926470588235295,0.4926470588235295,Low,High
Fizzy Lifting Drinks,Interior,First Class,The Other Factory,1,2,7.5,4.5,3.0,2.0,The Other Factory,False,2.1,0.612,-0.10000000000000009,-5.000000000000004,-0.2500000000000002,0.7499999999999999,0.0,0.7499999999999999,0.37499999999999994,0.37499999999999994,Low,High
Fizzy Lifting Drinks,Interior,First Class,Wicked Choccy's,1,2,7.5,4.5,3.0,2.0,Wicked Choccy's,False,1.7,0.582,0.30000000000000004,15.000000000000002,0.7500000000000001,0.713235294117647,0.7500000000000001,0.713235294117647,0.7316176470588236,0.7316176470588236,Medium,Medium
Fizzy Lifting Drinks,Interior,Standard Class,Lot's O' Nuts,1,3,11.25,6.75,4.5,5.0,Lot's O' Nuts,False,4.5,0.588,0.5,10.0,0.5,0.7205882352941175,0.5,0.7205882352941175,0.6102941176470588,0.6102941176470588,Medium,Medium
Fizzy Lifting Drinks,Interior,Standard Class,Secret Factory,1,3,11.25,6.75,4.5,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fizzy Lifting Drinks,Interior,Standard Class,Sugar Shack,1,3,11.25,6.75,4.5,5.0,Sugar Shack,False,4.75,0.6,0.25,5.0,0.25,0.7352941176470588,0.25,0.7352941176470588,0.4926470588235294,0.4926470588235294,Low,High
Fizzy Lifting Drinks,Interior,Standard Class,The Other Factory,1,3,11.25,6.75,4.5,5.0,The Other Factory,False,5.25,0.612,-0.25,-5.0,-0.25,0.7499999999999999,0.0,0.7499999999999999,0.37499999999999994,0.37499999999999994,Low,High
Fizzy Lifting Drinks,Interior,Standard Class,Wicked Choccy's,1,3,11.25,6.75,4.5,5.0,Wicked Choccy's,False,4.25,0.582,0.75,15.0,0.75,0.713235294117647,0.75,0.713235294117647,0.7316176470588235,0.7316176470588235,Medium,Medium
Fizzy Lifting Drinks,Pacific,Standard Class,Lot's O' Nuts,1,3,11.25,6.75,4.5,5.0,Lot's O' Nuts,False,4.5,0.588,0.5,10.0,0.5,0.7205882352941175,0.5,0.7205882352941175,0.6102941176470588,0.6102941176470588,Medium,Medium
Fizzy Lifting Drinks,Pacific,Standard Class,Secret Factory,1,3,11.25,6.75,4.5,5.0,Secret Factory,False,4.0,0.576,1.0,20.0,1.0,0.7058823529411764,1.0,0.7058823529411764,0.8529411764705882,0.8529411764705882,High,Low
Fizzy Lifting Drinks,Pacific,Standard Class,Sugar Shack,1,3,11.25,6.75,4.5,5.0,Sugar Shack,False,4.75,0.6,0.25,5.0,0.25,0.7352941176470588,0.25,0.7352941176470588,0.4926470588235294,0.4926470588235294,Low,High
Fizzy Lifting Drinks,Pacific,Standard Class,The Other Factory,1,3,11.25,6.75,4.5,5.0,The Other Factory,False,5.25,0.612,-0.25,-5.0,-0.25,0.7499999999999999,0.0,0.7499999999999999,0.37499999999999994,0.37499999999999994,Low,High
Fizzy Lifting Drinks,Pacific,Standard Class,Wicked Choccy's,1,3,11.25,6.75,4.5,5.0,Wicked Choccy's,False,4.25,0.582,0.75,15.0,0.75,0.713235294117647,0.75,0.713235294117647,0.7316176470588235,0.7316176470588235,Medium,Medium
Fun Dip,Atlantic,Standard Class,Lot's O' Nuts,1,4,6.0,2.4,3.6,5.0,Lot's O' Nuts,False,4.5,0.39199999999999996,0.5,10.0,0.5,0.480392156862745,0.5,0.480392156862745,0.4901960784313725,0.4901960784313725,Low,High
Fun Dip,Atlantic,Standard Class,Secret Factory,1,4,6.0,2.4,3.6,5.0,Secret Factory,False,4.0,0.38399999999999995,1.0,20.0,1.0,0.47058823529411753,1.0,0.47058823529411753,0.7352941176470588,0.7352941176470588,Medium,Medium
Fun Dip,Atlantic,Standard Class,Sugar Shack,1,4,6.0,2.4,3.6,5.0,Sugar Shack,False,4.75,0.39999999999999997,0.25,5.0,0.25,0.4901960784313725,0.25,0.4901960784313725,0.37009803921568624,0.37009803921568624,Low,High
Fun Dip,Atlantic,Standard Class,The Other Factory,1,4,6.0,2.4,3.6,5.0,The Other Factory,False,5.25,0.408,-0.25,-5.0,-0.25,0.49999999999999994,0.0,0.49999999999999994,0.24999999999999997,0.24999999999999997,Low,High
Fun Dip,Atlantic,Standard Class,Wicked Choccy's,1,4,6.0,2.4,3.6,5.0,Wicked Choccy's,False,4.25,0.38799999999999996,0.75,15.0,0.75,0.4754901960784313,0.75,0.4754901960784313,0.6127450980392156,0.6127450980392156,Medium,Medium
Fun Dip,Gulf,Second Class,Lot's O' Nuts,1,1,1.5,0.6,0.9,3.0,Lot's O' Nuts,False,2.7,0.39199999999999996,0.2999999999999998,9.999999999999993,0.49999999999999967,0.480392156862745,0.49999999999999967,0.480392156862745,0.49019607843137236,0.49019607843137236,Low,High
Fun Dip,Gulf,Second Class,Secret Factory,1,1,1.5,0.6,0.9,3.0,Secret Factory,False,2.4000000000000004,0.38399999999999995,0.5999999999999996,19.999999999999986,0.9999999999999993,0.47058823529411753,0.9999999999999993,0.47058823529411753,0.7352941176470584,0.7352941176470584,Medium,Medium
Fun Dip,Gulf,Second Class,Sugar Shack,1,1,1.5,0.6,0.9,3.0,Sugar Shack,False,2.8499999999999996,0.39999999999999997,0.15000000000000036,5.000000000000012,0.2500000000000006,0.4901960784313725,0.2500000000000006,0.4901960784313725,0.3700980392156865,0.3700980392156865,Low,High
Fun Dip,Gulf,Second Class,The Other Factory,1,1,1.5,0.6,0.9,3.0,The Other Factory,False,3.1500000000000004,0.408,-0.15000000000000036,-5.000000000000012,-0.2500000000000006,0.49999999999999994,0.0,0.49999999999999994,0.24999999999999997,0.24999999999999997,Low,High
Fun Dip,Gulf,Second Class,Wicked Choccy's,1,1,1.5,0.6,0.9,3.0,Wicked Choccy's,False,2.55,0.38799999999999996,0.4500000000000002,15.000000000000005,0.7500000000000002,0.4754901960784313,0.7500000000000002,0.4754901960784313,0.6127450980392157,0.6127450980392157,Medium,Medium
Fun Dip,Interior,Second Class,Lot's O' Nuts,1,3,4.5,1.8,2.7,3.0,Lot's O' Nuts,False,2.7,0.392,0.2999999999999998,9.999999999999993,0.49999999999999967,0.48039215686274506,0.49999999999999967,0.48039215686274506,0.49019607843137236,0.49019607843137236,Low,High
Fun Dip,Interior,Second Class,Secret Factory,1,3,4.5,1.8,2.7,3.0,Secret Factory,False,2.4000000000000004,0.384,0.5999999999999996,19.999999999999986,0.9999999999999993,0.47058823529411764,0.9999999999999993,0.47058823529411764,0.7352941176470584,0.7352941176470584,Medium,Medium
Fun Dip,Interior,Second Class,Sugar Shack,1,3,4.5,1.8,2.7,3.0,Sugar Shack,False,2.8499999999999996,0.4,0.15000000000000036,5.000000000000012,0.2500000000000006,0.49019607843137253,0.2500000000000006,0.49019607843137253,0.37009803921568657,0.37009803921568657,Low,High
Fun Dip,Interior,Second Class,The Other Factory,1,3,4.5,1.8,2.7,3.0,The Other Factory,False,3.1500000000000004,0.40800000000000003,-0.15000000000000036,-5.000000000000012,-0.2500000000000006,0.5,0.0,0.5,0.25,0.25,Low,High
Fun Dip,Interior,Second Class,Wicked Choccy's,1,3,4.5,1.8,2.7,3.0,Wicked Choccy's,False,2.55,0.388,0.4500000000000002,15.000000000000005,0.7500000000000002,0.47549019607843135,0.7500000000000002,0.47549019607843135,0.6127450980392157,0.6127450980392157,Medium,Medium
Hair Toffee,Atlantic,Standard Class,Lot's O' Nuts,1,5,22.5,17.5,5.0,5.0,Lot's O' Nuts,False,4.5,0.7622222222222222,0.5,10.0,0.5,0.9340958605664488,0.5,0.9340958605664488,0.7170479302832244,0.7170479302832244,Medium,Medium
Hair Toffee,Atlantic,Standard Class,Secret Factory,1,5,22.5,17.5,5.0,5.0,Secret Factory,False,4.0,0.7466666666666667,1.0,20.0,1.0,0.9150326797385621,1.0,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Hair Toffee,Atlantic,Standard Class,Sugar Shack,1,5,22.5,17.5,5.0,5.0,Sugar Shack,False,4.75,0.7777777777777778,0.25,5.0,0.25,0.9531590413943355,0.25,0.9531590413943355,0.6015795206971677,0.6015795206971677,Medium,Medium
Hair Toffee,Atlantic,Standard Class,The Other Factory,1,5,22.5,17.5,5.0,5.0,The Other Factory,False,5.25,0.7933333333333333,-0.25,-5.0,-0.25,0.9722222222222221,0.0,0.9722222222222221,0.48611111111111105,0.48611111111111105,Low,High
Hair Toffee,Atlantic,Standard Class,Wicked Choccy's,1,5,22.5,17.5,5.0,5.0,Wicked Choccy's,False,4.25,0.7544444444444445,0.75,15.0,0.75,0.9245642701525054,0.75,0.9245642701525054,0.8372821350762527,0.8372821350762527,High,Low
Hair Toffee,Gulf,Same Day,Lot's O' Nuts,1,2,9.0,7.0,2.0,1.0,Lot's O' Nuts,False,0.9,0.7622222222222222,0.09999999999999998,9.999999999999998,0.4999999999999999,0.9340958605664488,0.4999999999999999,0.9340958605664488,0.7170479302832243,0.7170479302832243,Medium,Medium
Hair Toffee,Gulf,Same Day,Secret Factory,1,2,9.0,7.0,2.0,1.0,Secret Factory,False,0.8,0.7466666666666667,0.19999999999999996,19.999999999999996,0.9999999999999998,0.9150326797385621,0.9999999999999998,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Hair Toffee,Gulf,Same Day,Sugar Shack,1,2,9.0,7.0,2.0,1.0,Sugar Shack,False,0.95,0.7777777777777778,0.050000000000000044,5.000000000000004,0.2500000000000002,0.9531590413943355,0.2500000000000002,0.9531590413943355,0.6015795206971679,0.6015795206971679,Medium,Medium
Hair Toffee,Gulf,Same Day,The Other Factory,1,2,9.0,7.0,2.0,1.0,The Other Factory,False,1.05,0.7933333333333333,-0.050000000000000044,-5.000000000000004,-0.2500000000000002,0.9722222222222221,0.0,0.9722222222222221,0.48611111111111105,0.48611111111111105,Low,High
Hair Toffee,Gulf,Same Day,Wicked Choccy's,1,2,9.0,7.0,2.0,1.0,Wicked Choccy's,False,0.85,0.7544444444444445,0.15000000000000002,15.000000000000002,0.7500000000000001,0.9245642701525054,0.7500000000000001,0.9245642701525054,0.8372821350762527,0.8372821350762527,High,Low
Hair Toffee,Pacific,First Class,Lot's O' Nuts,1,5,22.5,17.5,5.0,2.0,Lot's O' Nuts,False,1.8,0.7622222222222222,0.19999999999999996,9.999999999999998,0.4999999999999999,0.9340958605664488,0.4999999999999999,0.9340958605664488,0.7170479302832243,0.7170479302832243,Medium,Medium
Hair Toffee,Pacific,First Class,Secret Factory,1,5,22.5,17.5,5.0,2.0,Secret Factory,False,1.6,0.7466666666666667,0.3999999999999999,19.999999999999996,0.9999999999999998,0.9150326797385621,0.9999999999999998,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Hair Toffee,Pacific,First Class,Sugar Shack,1,5,22.5,17.5,5.0,2.0,Sugar Shack,False,1.9,0.7777777777777778,0.10000000000000009,5.000000000000004,0.2500000000000002,0.9531590413943355,0.2500000000000002,0.9531590413943355,0.6015795206971679,0.6015795206971679,Medium,Medium
Hair Toffee,Pacific,First Class,The Other Factory,1,5,22.5,17.5,5.0,2.0,The Other Factory,False,2.1,0.7933333333333333,-0.10000000000000009,-5.000000000000004,-0.2500000000000002,0.9722222222222221,0.0,0.9722222222222221,0.48611111111111105,0.48611111111111105,Low,High
Hair Toffee,Pacific,First Class,Wicked Choccy's,1,5,22.5,17.5,5.0,2.0,Wicked Choccy's,False,1.7,0.7544444444444445,0.30000000000000004,15.000000000000002,0.7500000000000001,0.9245642701525054,0.7500000000000001,0.9245642701525054,0.8372821350762527,0.8372821350762527,High,Low
Hair Toffee,Pacific,Standard Class,Lot's O' Nuts,1,5,22.5,17.5,5.0,5.0,Lot's O' Nuts,False,4.5,0.7622222222222222,0.5,10.0,0.5,0.9340958605664488,0.5,0.9340958605664488,0.7170479302832244,0.7170479302832244,Medium,Medium
Hair Toffee,Pacific,Standard Class,Secret Factory,1,5,22.5,17.5,5.0,5.0,Secret Factory,False,4.0,0.7466666666666667,1.0,20.0,1.0,0.9150326797385621,1.0,0.9150326797385621,0.957516339869281,0.957516339869281,High,Low
Hair Toffee,Pacific,Standard Class,Sugar Shack,1,5,22.5,17.5,5.0,5.0,Sugar Shack,False,4.75,0.7777777777777778,0.25,5.0,0.25,0.9531590413943355,0.25,0.9531590413943355,0.6015795206971677,0.6015795206971677,Medium,Medium
Hair Toffee,Pacific,Standard Class,The Other Factory,1,5,22.5,17.5,5.0,5.0,The Other Factory,False,5.25,0.7933333333333333,-0.25,-5.0,-0.25,0.9722222222222221,0.0,0.9722222222222221,0.48611111111111105,0.48611111111111105,Low,High
Hair Toffee,Pacific,Standard Class,Wicked Choccy's,1,5,22.5,17.5,5.0,5.0,Wicked Choccy's,False,4.25,0.7544444444444445,0.75,15.0,0.75,0.9245642701525054,0.75,0.9245642701525054,0.8372821350762527,0.8372821350762527,High,Low
Kazookles,Atlantic,First Class,Lot's O' Nuts,5,24,78.0,6.0,72.0,2.0,Lot's O' Nuts,False,1.8,0.07538461538461538,0.19999999999999996,9.999999999999998,0.4999999999999999,0.09238310708898943,0.4999999999999999,0.09238310708898943,0.29619155354449467,0.29619155354449467,Low,High
Kazookles,Atlantic,First Class,Secret Factory,5,24,78.0,6.0,72.0,2.0,Secret Factory,False,1.6,0.07384615384615385,0.3999999999999999,19.999999999999996,0.9999999999999998,0.09049773755656108,0.9999999999999998,0.09049773755656108,0.5452488687782804,0.5452488687782804,Medium,Medium
Kazookles,Atlantic,First Class,Sugar Shack,5,24,78.0,6.0,72.0,2.0,Sugar Shack,False,1.9,0.07692307692307693,0.10000000000000009,5.000000000000004,0.2500000000000002,0.0942684766214178,0.2500000000000002,0.0942684766214178,0.172134238310709,0.172134238310709,Low,High
Kazookles,Atlantic,First Class,The Other Factory,5,24,78.0,6.0,72.0,2.0,The Other Factory,False,2.1,0.07846153846153847,-0.10000000000000009,-5.000000000000004,-0.2500000000000002,0.09615384615384616,0.0,0.09615384615384616,0.04807692307692308,0.04807692307692308,Low,High
Kazookles,Atlantic,First Class,Wicked Choccy's,5,24,78.0,6.0,72.0,2.0,Wicked Choccy's,False,1.7,0.07461538461538461,0.30000000000000004,15.000000000000002,0.7500000000000001,0.09144042232277526,0.7500000000000001,0.09144042232277526,0.4207202111613877,0.4207202111613877,Low,High
Kazookles,Atlantic,Same Day,Lot's O' Nuts,2,6,19.5,1.5,18.0,1.0,Lot's O' Nuts,False,0.9,0.07538461538461538,0.09999999999999998,9.999999999999998,0.4999999999999999,0.09238310708898943,0.4999999999999999,0.09238310708898943,0.29619155354449467,0.29619155354449467,Low,High
Kazookles,Atlantic,Same Day,Secret Factory,2,6,19.5,1.5,18.0,1.0,Secret Factory,False,0.8,0.07384615384615385,0.19999999999999996,19.999999999999996,0.9999999999999998,0.09049773755656108,0.9999999999999998,0.09049773755656108,0.5452488687782804,0.5452488687782804,Medium,Medium
Kazookles,Atlantic,Same Day,Sugar Shack,2,6,19.5,1.5,18.0,1.0,Sugar Shack,False,0.95,0.07692307692307693,0.050000000000000044,5.000000000000004,0.2500000000000002,0.0942684766214178,0.2500000000000002,0.0942684766214178,0.172134238310709,0.172134238310709,Low,High
Kazookles,Atlantic,Same Day,The Other Factory,2,6,19.5,1.5,18.0,1.0,The Other Factory,False,1.05,0.07846153846153847,-0.050000000000000044,-5.000000000000004,-0.2500000000000002,0.09615384615384616,0.0,0.09615384615384616,0.04807692307692308,0.04807692307692308,Low,High
Kazookles,Atlantic,Same Day,Wicked Choccy's,2,6,19.5,1.5,18.0,1.0,Wicked Choccy's,False,0.85,0.07461538461538461,0.15000000000000002,15.000000000000002,0.7500000000000001,0.09144042232277526,0.7500000000000001,0.09144042232277526,0.4207202111613877,0.4207202111613877,Low,High
Kazookles,Atlantic,Second Class,Lot's O' Nuts,8,34,110.5,8.5,102.0,3.0,Lot's O' Nuts,False,2.7,0.07538461538461538,0.2999999999999998,9.999999999999993,0.49999999999999967,0.09238310708898943,0.49999999999999967,0.09238310708898943,0.29619155354449456,0.29619155354449456,Low,High
Kazookles,Atlantic,Second Class,Secret Factory,8,34,110.5,8.5,102.0,3.0,Secret Factory,False,2.4000000000000004,0.07384615384615385,0.5999999999999996,19.999999999999986,0.9999999999999993,0.09049773755656108,0.9999999999999993,0.09049773755656108,0.5452488687782802,0.5452488687782802,Medium,Medium
Kazookles,Atlantic,Second Class,Sugar Shack,8,34,110.5,8.5,102.0,3.0,Sugar Shack,False,2.8499999999999996,0.07692307692307693,0.15000000000000036,5.000000000000012,0.2500000000000006,0.0942684766214178,0.2500000000000006,0.0942684766214178,0.1721342383107092,0.1721342383107092,Low,High
Kazookles,Atlantic,Second Class,The Other Factory,8,34,110.5,8.5,102.0,3.0,The Other Factory,False,3.1500000000000004,0.07846153846153847,-0.15000000000000036,-5.000000000000012,-0.2500000000000006,0.09615384615384616,0.0,0.09615384615384616,0.04807692307692308,0.04807692307692308,Low,High
Kazookles,Atlantic,Second Class,Wicked Choccy's,8,34,110.5,8.5,102.0,3.0,Wicked Choccy's,False,2.55,0.07461538461538461,0.4500000000000002,15.000000000000005,0.7500000000000002,0.09144042232277526,0.7500000000000002,0.09144042232277526,0.42072021116138775,0.42072021116138775,Low,High
Kazookles,Atlantic,Standard Class,Lot's O' Nuts,21,85,276.25,21.25,255.0,5.0,Lot's O' Nuts,False,4.5,0.07538461538461538,0.5,10.0,0.5,0.09238310708898943,0.5,0.09238310708898943,0.2961915535444947,0.2961915535444947,Low,High
Kazookles,Atlantic,Standard Class,Secret Factory,21,85,276.25,21.25,255.0,5.0,Secret Factory,False,4.0,0.07384615384615385,1.0,20.0,1.0,0.09049773755656108,1.0,0.09049773755656108,0.5452488687782805,0.5452488687782805,Medium,Medium
Kazookles,Atlantic,Standard Class,Sugar Shack,21,85,276.25,21.25,255.0,5.0,Sugar Shack,False,4.75,0.07692307692307693,0.25,5.0,0.25,0.0942684766214178,0.25,0.0942684766214178,0.1721342383107089,0.1721342383107089,Low,High
Kazookles,Atlantic,Standard Class,The Other Factory,21,85,276.25,21.25,255.0,5.0,The Other Factory,False,5.25,0.07846153846153847,-0.25,-5.0,-0.25,0.09615384615384616,0.0,0.09615384615384616,0.04807692307692308,0.04807692307692308,Low,High
